YEAR,MONTH,DAY,PERIOD,Name,1,2,3,4,5,6,7,8,9
2018,7,1,1,KPP_1,362,397.3631141,435.9136811,530.7197025,647.1450876,718.539801,740.4018587,743.7447529,744
2018,7,1,1,MPP_1,170,234.6635392,311.9866182,383.9029629,417.3034408,425.0495634,425.9466258,425.998502,426
2018,7,1,1,MPP_2,170,233.5571881,311.3273668,383.6595482,417.2531553,425.0440678,425.9463172,425.9984933,426
2018,7,1,1,STAN-1,180,248.7441078,2.49E+02,248.745139,248.7836622,249.5117921,256.3840843,288.7733387,365
2018,7,1,1,STAN-2,180,247.1464256,2.47E+02,247.147471,247.1865236,247.9246601,254.8913968,287.7257705,365
2018,7,1,1,STAN-3,180,288.2672353,2.88E+02,288.2679159,288.2933425,288.7739326,293.3098745,314.6878622,365
2018,7,1,1,STAN-4,180,265.3246549,2.65E+02,265.325539,265.358568,265.9828512,271.8750092,299.6448715,365
2018,7,1,1,TARONG#1,175,204.6592291,213.7073714,243.2374379,291.3630241,330.5276743,346.44313,349.6727433,350
2018,7,1,1,TARONG#2,175,202.9628528,212.1166025,241.9913355,290.6786299,330.3003988,346.4016153,349.6689236,350
2018,7,1,1,TARONG#3,175,179.6429661,190.2484878,224.8613118,281.2703433,327.1760695,345.8309164,349.6164154,350
2018,7,1,1,TARONG#4,175,207.1360362,216.0299857,245.0568191,292.362279,330.8595095,346.503744,349.6783202,350
2018,7,1,1,TNPS1,220,384.0086841,434.7508954,442.4018673,442.9779309,442.9995895,442.9999961,4.43E+02,4.43E+02
2018,7,1,1,LOYYB1,240,524.0440943,528.520493,532.6311649,534.5161306,534.9477498,534.9971018,534.9999196,5.35E+02
2018,7,1,1,LOYYB2,240,524.2958546,528.6693883,532.6855994,534.5272497,534.9489506,534.9971685,534.9999215,5.35E+02
2018,7,1,1,LYA1,410,559.9982154,559.9999727,5.60E+02,5.60E+02,5.60E+02,5.60E+02,5.60E+02,5.60E+02
2018,7,1,1,LYA2,300,529.9949673,529.9999232,5.30E+02,5.30E+02,5.30E+02,5.30E+02,5.30E+02,5.30E+02
2018,7,1,1,LYA3,410,559.9981039,559.9999711,5.60E+02,5.60E+02,5.60E+02,5.60E+02,5.60E+02,5.60E+02
2018,7,1,1,LYA4,410,559.9984385,559.9999762,5.60E+02,5.60E+02,5.60E+02,5.60E+02,5.60E+02,5.60E+02
2018,7,1,1,YWPS1,216,238.7804357,287.575449,342.0008315,372.3141964,380.7450863,381.9159849,381.9971879,382
2018,7,1,1,YWPS2,216,239.9273095,288.331582,342.3211369,372.3917584,380.7551354,381.9166577,381.9972104,382
2018,7,1,1,YWPS3,228,248.1670201,293.764017,344.6223698,372.9490023,380.8273331,381.9214913,381.9973722,382
2018,7,1,1,YWPS4,228,248.1670201,293.764017,344.6223698,372.9490023,380.8273331,381.9214913,381.9973722,382
2018,7,1,1,BLOWERNG,0,10,20,30,40,50,60,70,80
2018,7,1,1,GUTHEGA1,0,4.25,8.5,12.75,17,21.25,25.5,29.75,34
2018,7,1,1,GUTHEGA2,0,4.25,8.5,12.75,17,21.25,25.5,29.75,34
2018,7,1,1,HUMENSW,0,0,0,0,0,0,0,0,0
2018,7,1,1,Lower Tumut,0,0,0,0,0,0,0,0,0
2018,7,1,1,SHGEN01,0,0,0,0,0,0,0,0,0
2018,7,1,1,SHGEN02,0,0,0,0,0,0,0,0,0
2018,7,1,1,SHGEN03,0,0,0,0,0,0,0,0,0
2018,7,1,1,SHGEN04,0,0,0,0,0,0,0,0,0
2018,7,1,1,Upper Tumut,0,77,154,231,308,385,462,539,616
2018,7,1,1,Barron Gorge,0,8.25,16.5,24.75,33,41.25,49.5,57.75,66
2018,7,1,1,BARRON-1,0,4.125,8.25,12.375,16.5,20.625,24.75,28.875,33
2018,7,1,1,BARRON-2,0,4.125,8.25,12.375,16.5,20.625,24.75,28.875,33
2018,7,1,1,Kareeya,0,10.8,21.6,32.4,43.2,54,64.8,75.6,86.4
2018,7,1,1,KAREEYA1,0,2.7,5.4,8.1,10.8,13.5,16.2,18.9,21.6
2018,7,1,1,KAREEYA2,0,2.7,5.4,8.1,10.8,13.5,16.2,18.9,21.6
2018,7,1,1,KAREEYA3,0,2.7,5.4,8.1,10.8,13.5,16.2,18.9,21.6
2018,7,1,1,KAREEYA4,0,2.7,5.4,8.1,10.8,13.5,16.2,18.9,21.6
2018,7,1,1,W/HOE#1,0,31.25,62.5,93.75,125,156.25,187.5,218.75,250
2018,7,1,1,W/HOE#2,0,31.25,62.5,93.75,125,156.25,187.5,218.75,250
2018,7,1,1,BOGONG1,0,0,0,0,0,0,0,0,0
2018,7,1,1,BOGONG2,0,0,0,0,0,0,0,0,0
2018,7,1,1,DARTM1,0,21.25,42.5,63.75,85,106.25,127.5,148.75,170
2018,7,1,1,EILDON1,0,7.5,15,22.5,30,37.5,45,52.5,60
2018,7,1,1,EILDON2,0,6.625,13.25,19.875,26.5,33.125,39.75,46.375,53
2018,7,1,1,HUMEV,0,7.25,14.5,21.75,29,36.25,43.5,50.75,58
2018,7,1,1,McKay Creek,0,37.5,75,112.5,150,187.5,225,262.5,300
2018,7,1,1,Murray,0,188.75,377.5,566.25,755,943.75,1132.5,1321.25,1510
2018,7,1,1,WKIEWA1,0,4.25,8.5,12.75,17,21.25,25.5,29.75,34
2018,7,1,1,WKIEWA2,0,4.25,8.5,12.75,17,21.25,25.5,29.75,34
2018,7,1,1,CG1,0,0,0.070603668,1.117762648,8.873169522,37.55475553,90.52211808,139.3671214,161.8596638
2018,7,1,1,CG2,0,0,0.070603668,1.117762648,8.873169522,37.55475553,90.52211808,139.3671214,161.8596638
2018,7,1,1,CG3,0,0,0.070603668,1.117762648,8.873169522,37.55475553,90.52211808,139.3671214,161.8596638
2018,7,1,1,CG4,0,0,0.070603668,1.117762648,8.873169522,37.55475553,90.52211808,139.3671214,161.8596638
2018,7,1,1,SITHE01,0,0,0,0,0,0,0,0,0
2018,7,1,1,SITHE02,0,0,0,0,0,0,0,0,0
2018,7,1,1,SITHE03,0,0,0,0,0,0,0,0,0
2018,7,1,1,SITHE04,0,0,0,0,0,0,0,0,0
2018,7,1,1,TALWA1,0,0,136.6979871,174.3708117,179.5552398,179.9115105,179.923736,179.9239455,1.80E+02
2018,7,1,1,URANQ11,0,0,0.346620994,3.788839609,20.85864792,63.12798621,115.3951415,147.6681081,157.6188515
2018,7,1,1,URANQ12,0,0,0.346620994,3.788839609,20.85864792,63.12798621,115.3951415,147.6681081,157.6188515
2018,7,1,1,URANQ13,0,0,0.346620994,3.788839609,20.85864792,63.12798621,115.3951415,147.6681081,157.6188515
2018,7,1,1,URANQ14,0,0,0.346620994,3.788839609,20.85864792,63.12798621,115.3951415,147.6681081,157.6188515
2018,7,1,1,BARCALDN,0,0,4.757142857,9.514285714,14.27142857,19.02857143,23.78571429,28.54285714,33.3
2018,7,1,1,BRAEMAR1,0,18.59685536,18.60602763,18.81445602,21.17952316,34.58050734,72.49773043,126.0703599,163.8672451
2018,7,1,1,BRAEMAR2,0,18.59685536,18.60602763,18.81445602,21.17952316,34.58050734,72.49773043,126.0703599,163.8672451
2018,7,1,1,BRAEMAR3,0,18.59685536,18.60602763,18.81445602,21.17952316,34.58050734,72.49773043,126.0703599,163.8672451
2018,7,1,1,BRAEMAR5,0,18.64452832,18.65399779,18.86917961,21.31087894,35.14607773,74.29188312,129.6003565,168.6219249
2018,7,1,1,BRAEMAR6,0,18.64452832,18.65399779,18.86917961,21.31087894,35.14607773,74.29188312,129.6003565,168.6219249
2018,7,1,1,BRAEMAR7,0,18.64452832,18.65399779,18.86917961,21.31087894,35.14607773,74.29188312,129.6003565,168.6219249
2018,7,1,1,CPSA,41,124.8101721,124.8648462,125.3713421,127.7143634,133.1266801,139.3697294,142.9657067,144
2018,7,1,1,DDPS1,0,0,243.2979771,451.9772313,541.3544146,560.4696944,562.5111563,562.6200263,562.6229256
2018,7,1,1,OAKEY1,0,0,7.178188506,33.47494937,81.58061903,125.5243454,145.5692554,150.1350665,150.6543905
2018,7,1,1,OAKEY2,0,0,7.178188506,33.47494937,81.58061903,125.5243454,145.5692554,150.1350665,150.6543905
2018,7,1,1,ROMA_7,0,0,4.371428571,8.742857142,13.11428571,17.48571428,21.85714286,26.22857143,30.6
2018,7,1,1,ROMA_8,0,0,4.371428571,8.742857142,13.11428571,17.48571428,21.85714286,26.22857143,30.6
2018,7,1,1,SWAN_E,0,0,44.659776,144.7640433,256.8097581,319.4342942,336.912643,339.3485623,339.5180866
2018,7,1,1,YABULU,0,0,51.25509376,105.7980713,134.7813332,142.4719698,143.4909927,143.5584163,143.560644
2018,7,1,1,YABULU2,0,0,26.57021884,54.84484954,69.86953404,73.85629678,74.38454985,74.41950171,74.4206565
