YEAR,MONTH,DAY,PERIOD,Name,1,2,3,4,5,6,7,8,9,10
2018,7,1,1,Moorabool WF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MTGELWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MUWAWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,OAKLAND1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Portland 2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Portland 3,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Portland 4,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,SALTCRK1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Stockyard Hill WF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WAUBRAWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,YAMBUKWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,BLUFF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CATHROCK,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CLEMGPWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CNUNDAWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HALLWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HALLWF2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HDWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HDWF2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HDWF3,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LGAPWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LKBONNY1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LKBONNY2,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LKBONNY3,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MTMILLAR,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,NBHWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,SNOWNTH1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,SNOWSTH1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,SNOWTWN1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,STARHLWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WATERLWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WGWF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WPWF,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MUSSELR1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,WOOLNTH1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,BERYLSF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,BROKENH1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,COLEASF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,GRIFSF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MANSLR1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,MOREESF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,NYNGAN1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,PARSF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CHILDSF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CLARESF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,CSPVPS1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,DAYDSF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,DDSF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,EMERASF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HAMISF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,HAYMSF1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,Kennedy Energy Park Solar,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,KSP1,0,1,0,0,0,0,0,0,0,0
2018,7,1,1,LILYSF1,0,1,0,0,0,0,0,0,0,0
